标题,采购级别,采购品类,发布时间,详情链接,公告ID
达州市达川区农业农村局达川区帮扶项目资产规范管理服务采购项目竞争性磋商公告,达州市达川区,服务,2025-12-09,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=0122b085-af3e-41cc-b10c-4f10411f82b1
宣汉县人民医院（宣汉县精神病医院）宣汉县君塘中心卫生院2025年公立医院改革与高质量发展示范项目设备采购项目竞争性谈判公告,达州市宣汉县,货物,2025-12-17,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=af310b46-d8b7-4c41-91a9-c468bf63d95e
宣汉县民政局2025年居家和社区基本养老服务提升行动采购项目招标公告,达州市宣汉县,服务,2025-12-12,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=076949ac-7f74-430c-a718-60a971a5d62c
宣汉县林业局宣汉县2024年中央财政林业草原专项资金其他国土绿化作业设计项目竞争性磋商公告,达州市宣汉县,服务,2025-12-08,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=04db3f57-52ad-478b-938c-b2acc124bd7e
中国共产党宣汉县委员会宣传部农家书屋出版物补充更新项目（2024）(二次)询价公告,达州市宣汉县,货物,2025-12-05,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=80fe1835-1469-4247-b68b-09221f9d23c6
宣汉县民政局宣汉县殡仪馆火化炉设备采购项目竞争性谈判公告,达州市宣汉县,货物,2025-12-01,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=9b7c2d5b-90e5-4990-81a8-b6589f86f19f
宣汉县农业农村局宣汉县2024年中央财政粮油生产保障资金(玉米绿色高产高效)项目农机设备采购(二次)竞争性谈判公告,达州市宣汉县,货物,2025-11-28,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=54d364f4-bb0f-4cae-acc4-f3d4e7b0e004
中国共产党宣汉县委员会宣传部农家书屋出版物补充更新项目（2024）询价公告,达州市宣汉县,货物,2025-11-28,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=21dba667-c4b3-47f9-86c1-9a92bf9a774f
中国共产党宣汉县委员会宣传部社会宣传户外公益广告设计制作安装服务项目竞争性磋商公告,达州市宣汉县,服务,2025-11-27,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=f099fc04-f327-4776-8e70-df685ff04e55
开江县民政局为你而来相伴成长儿童关爱保护服务项目(二次)竞争性磋商公告,达州市开江县,服务,2025-12-16,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=a5b20c75-11a7-4a6e-b0b8-132e51eabe90
开江县林业局开江县古树名木抢救性保护服务竞争性磋商公告,达州市开江县,服务,2025-12-09,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=893d2f3f-f8dc-490a-b9e9-1e03b46eaf65
开江县卫生健康局公立医院改革与高质量发展示范项目设备采购招标公告,达州市开江县,货物,2025-12-05,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=0133f970-6147-4f25-b3bd-e1e9b51f72cf
四川省开江中学采购设备项目询价公告,达州市开江县,货物,2025-12-03,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=fc4d4f28-26ff-479f-871c-396b9eccc8b8
开江县商务局2025年开江县“田城乐购”大型抽奖促销汽车采购项目(四次)询价公告,达州市开江县,货物,2025-12-02,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=000130ef-a47d-49ab-8247-e4659b264987
开江县发展和改革局开江县国民经济和社会发展第十五个五年规划编制采购项目竞争性磋商公告,达州市开江县,服务,2025-11-27,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=96a4c1b4-e628-4035-9f16-654372bb1e28
开江县人民医院购买物业管理服务竞争性磋商公告,达州市开江县,服务,2025-11-27,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=5c201273-b395-454c-9d5e-8e1c93861d48
四川省开江县职业中学（开江县成人中等学校）四川省开江县职业中学田径运动场和风雨操场音响及灯光系统采购项目(二次)询价公告,达州市开江县,货物,2025-11-24,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=b972533f-604e-4e01-942b-c43c11a26f1f
大竹县经济作物站大竹县2024年度中央财政专项资金绿色种养循环农业试点项目（有机无机复混肥）(二次)询价公告,达州市大竹县,货物,2025-12-18,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=753b8b28-968b-407b-a9c0-a888f73f1051
四川省大竹中学校本部教学触控一体机采购项目询价公告,达州市大竹县,货物,2025-12-18,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=afc73449-05e8-492d-a178-dc451efbc885
大竹县观音中心卫生院医疗设备采购项目(二次)询价公告,达州市大竹县,货物,2025-12-18,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=d4371211-db17-4b63-8004-285492d3487f
大竹县观音中心卫生院加装电梯采购项目竞争性谈判公告,达州市大竹县,货物,2025-12-17,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=c51ac17e-9d31-457f-94f8-70245a56815f
大竹县文星中学文星中学外聘人员劳务服务项目（2026年度）竞争性磋商公告,达州市大竹县,服务,2025-12-16,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=32fe562b-4c68-4ec2-9f63-a23574550667
大竹县土壤肥料站2023年高标准农田建设项目有机无机复混肥、移动式提灌机组及高效节水灌溉物资采购招标公告,达州市大竹县,货物,2025-12-16,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=05f10551-f411-455a-a564-e1dc78aea15f
大竹县自然资源局水资源基础调查工作竞争性磋商公告,达州市大竹县,服务,2025-12-16,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=0bd10053-d08b-4f35-bb2f-b6c8ea616e3a
大竹县中医院治未病综合大楼导视系统设计制作安装服务竞争性磋商公告,达州市大竹县,服务,2025-12-16,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=93fe0eb3-f36b-4035-8352-de1e08d49742
渠县自然资源局渠县2025年建设占用耕地耕作层土壤剥离再利用工作项目竞争性磋商公告,达州市渠县,服务,2025-12-16,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=597a8ca9-99ff-4d76-aebb-89f28538518f
渠县林业保护发展中心聘请第三方机构对渠县破坏森林资源线索开展现场调查工作竞争性磋商公告,达州市渠县,服务,2025-12-11,https://www.ccgp-sichuan.gov.cn/maincms-web/article?type=notice&id=5e846eb6-7626-4285-bfed-0ab2bb1bd0ee
